what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1422878053704
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1422878053714
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1422878053724
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1422878053742
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1422878053761
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1422878053776
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1422878053785
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1422878053802
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1422878053809
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1422878053825
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1422878053842
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1422878053849
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1422878053850
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1422878053856
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1422878053866
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1422878053882
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1422878053896
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1422878053903
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1422878053916
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1422878053929
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1422878053936
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1422878053949
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1422878053971
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1422878053979
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1422878053996
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1422878054007
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1422878054014
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1422878054021
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1422878054034
os,sysinfo,,,"win32",1422878054037
arch,sysinfo,,,"x86",1422878054037
ws,sysinfo,,,"win32",1422878054037
locale,sysinfo,,,"en_US",1422878054037
processors,sysinfo,,,"2",1422878054037
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1422878054037
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1422878054037
java.specification.name,sysinfo,,,"Java Platform API Specification",1422878054037
java.specification.vendor,sysinfo,,,"Oracle Corporation",1422878054037
java.specification.version,sysinfo,,,"1.7",1422878054037
java.vendor,sysinfo,,,"Oracle Corporation",1422878054037
java.version,sysinfo,,,"1.7.0_03",1422878054037
java.vm.info,sysinfo,,,"mixed mode, sharing",1422878054037
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1422878054037
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1422878054037
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1422878054037
java.vm.specification.version,sysinfo,,,"1.7",1422878054037
java.vm.vendor,sysinfo,,,"Oracle Corporation",1422878054037
java.vm.version,sysinfo,,,"22.1-b02",1422878054037
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1422878055110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422878055798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422878073370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1422878076902
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1422878089068
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1422878089453
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1422878089475
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1422878089768
